k1,b,MAP,Precision@10_overall,nDCG@10_overall,query,AP,Precision@10_query,nDCG@10_query
0.5,0.5,0.5906,0.928,0.9423,film awards best actor,0.7787553375573256,1.0,1.0
0.5,0.5,0.5906,0.928,0.9423,minister resignation political party,0.7633623462582884,1.0,1.0
0.5,0.5,0.5906,0.928,0.9423,company profits economic growth,0.729797912237823,0.9,0.8899541168509599
0.5,0.5,0.5906,0.928,0.9423,government election campaign,0.726254916542102,1.0,1.0
0.5,0.5,0.5906,0.928,0.9423,technology company new device,0.7172976362717893,1.0,1.0
0.5,0.75,0.5913,0.916,0.935,film awards best actor,0.7775181215452679,1.0,1.0
0.5,0.75,0.5913,0.916,0.935,minister resignation political party,0.7621621077172034,1.0,1.0
0.5,0.75,0.5913,0.916,0.935,company profits economic growth,0.7344205203596446,0.9,0.8899541168509599
0.5,0.75,0.5913,0.916,0.935,government election campaign,0.7254983837652328,1.0,1.0
0.5,0.75,0.5913,0.916,0.935,technology company new device,0.7116826047064173,1.0,1.0
0.5,1.0,0.5923,0.92,0.9362,film awards best actor,0.7786085105645859,1.0,1.0
0.5,1.0,0.5923,0.92,0.9362,minister resignation political party,0.7608576416795324,1.0,1.0
0.5,1.0,0.5923,0.92,0.9362,company profits economic growth,0.7384366150057048,0.9,0.8899541168509599
0.5,1.0,0.5923,0.92,0.9362,government election campaign,0.7245120826915504,1.0,1.0
0.5,1.0,0.5923,0.92,0.9362,football team championship win,0.7114053025357998,0.9,0.914856882358379
0.5,0.25,0.5879,0.924,0.9366,film awards best actor,0.7690560473848941,1.0,1.0
0.5,0.25,0.5879,0.924,0.9366,minister resignation political party,0.7613204016043232,1.0,1.0
0.5,0.25,0.5879,0.924,0.9366,government election campaign,0.7253361609911927,1.0,1.0
0.5,0.25,0.5879,0.924,0.9366,company profits economic growth,0.7233434222257217,0.9,0.8611375561264454
0.5,0.25,0.5879,0.924,0.9366,technology company new device,0.7208330306181264,1.0,1.0
1.0,0.25,0.5891,0.936,0.9379,minister resignation political party,0.7712213647230538,1.0,1.0
1.0,0.25,0.5891,0.936,0.9379,film awards best actor,0.7694354540014244,1.0,1.0
1.0,0.25,0.5891,0.936,0.9379,company profits economic growth,0.7278456027009425,0.9,0.8611375561264454
1.0,0.25,0.5891,0.936,0.9379,government election campaign,0.7273078067742464,1.0,1.0
1.0,0.25,0.5891,0.936,0.9379,technology company new device,0.71657545087374,1.0,1.0
1.0,0.5,0.5912,0.936,0.945,film awards best actor,0.7762237795365629,1.0,1.0
1.0,0.5,0.5912,0.936,0.945,minister resignation political party,0.7704430253404126,1.0,1.0
1.0,0.5,0.5912,0.936,0.945,company profits economic growth,0.7360312406131492,0.9,0.8899541168509599
1.0,0.5,0.5912,0.936,0.945,government election campaign,0.7276537125718024,1.0,1.0
1.0,0.5,0.5912,0.936,0.945,technology company new device,0.7108375617371989,1.0,1.0
1.0,0.75,0.5928,0.932,0.9432,film awards best actor,0.7785227956490625,1.0,1.0
1.0,0.75,0.5928,0.932,0.9432,minister resignation political party,0.7694531387395405,1.0,1.0
1.0,0.75,0.5928,0.932,0.9432,company profits economic growth,0.7432470640484509,0.9,0.905211635630449
1.0,0.75,0.5928,0.932,0.9432,government election campaign,0.7270520289668901,1.0,1.0
1.0,0.75,0.5928,0.932,0.9432,football team championship win,0.7122814785164734,0.9,0.8899541168509599
