mu,MAP,Precision@10_overall,nDCG@10_overall,query,AP,Precision@10_query,nDCG@10_query
100,0.5758,0.932,0.9459,football team championship win,0.7797310102885021,0.9,0.933745776545611
100,0.5758,0.932,0.9459,company profits economic growth,0.7707703594775258,0.9,0.8899541168509599
100,0.5758,0.932,0.9459,film awards best actor,0.7334104487870498,1.0,1.0
100,0.5758,0.932,0.9459,minister resignation political party,0.7185792573129898,1.0,1.0
100,0.5758,0.932,0.9459,tennis player grand slam,0.7060429124083787,1.0,1.0
500,0.5785,0.92,0.9349,company profits economic growth,0.7749355867301974,0.9,0.9216017310213246
500,0.5785,0.92,0.9349,football team championship win,0.7685093811183189,0.9,0.8899541168509599
500,0.5785,0.92,0.9349,film awards best actor,0.7372766965808564,1.0,1.0
500,0.5785,0.92,0.9349,minister resignation political party,0.717915040281196,1.0,1.0
500,0.5785,0.92,0.9349,tennis player grand slam,0.6918231813296892,1.0,1.0
1000,0.5778,0.912,0.9171,company profits economic growth,0.7719301390795913,0.9,0.9216017310213246
1000,0.5778,0.912,0.9171,football team championship win,0.7620331220322891,0.9,0.8611375561264454
1000,0.5778,0.912,0.9171,film awards best actor,0.7360202271358018,1.0,1.0
1000,0.5778,0.912,0.9171,minister resignation political party,0.7141179449694364,1.0,1.0
1000,0.5778,0.912,0.9171,government election campaign,0.6876132514561252,1.0,1.0
1500,0.5767,0.912,0.9173,company profits economic growth,0.7693453825871913,0.9,0.9266360779006398
1500,0.5767,0.912,0.9173,football team championship win,0.7578259844249389,0.9,0.8611375561264454
1500,0.5767,0.912,0.9173,film awards best actor,0.7338024790700803,1.0,1.0
1500,0.5767,0.912,0.9173,minister resignation political party,0.7100017147167401,1.0,1.0
1500,0.5767,0.912,0.9173,government election campaign,0.6862319115520958,1.0,1.0
2000,0.5758,0.916,0.9197,company profits economic growth,0.7683162953570872,0.9,0.933745776545611
2000,0.5758,0.916,0.9197,football team championship win,0.7551402044829384,0.9,0.8611375561264454
2000,0.5758,0.916,0.9197,film awards best actor,0.7322205406291957,1.0,1.0
2000,0.5758,0.916,0.9197,minister resignation political party,0.707278205633807,1.0,1.0
2000,0.5758,0.916,0.9197,government election campaign,0.6852317800489232,1.0,1.0
2500,0.575,0.92,0.9191,company profits economic growth,0.7668525684970368,1.0,1.0
2500,0.575,0.92,0.9191,football team championship win,0.7519101915172296,0.9,0.7799082337019198
2500,0.575,0.92,0.9191,film awards best actor,0.73144546317628,1.0,1.0
2500,0.575,0.92,0.9191,minister resignation political party,0.7046173073756974,1.0,1.0
2500,0.575,0.92,0.9191,government election campaign,0.684302889129923,1.0,1.0
3000,0.5741,0.92,0.9177,company profits economic growth,0.7658183478769502,1.0,1.0
3000,0.5741,0.92,0.9177,football team championship win,0.7499925423255451,0.9,0.7799082337019198
3000,0.5741,0.92,0.9177,film awards best actor,0.7307334952382812,1.0,1.0
3000,0.5741,0.92,0.9177,minister resignation political party,0.7022997484637685,1.0,1.0
3000,0.5741,0.92,0.9177,government election campaign,0.6828437402456843,1.0,1.0
5000,0.572,0.928,0.9192,company profits economic growth,0.762197116616314,1.0,1.0
5000,0.572,0.928,0.9192,football team championship win,0.7453680423249985,0.9,0.7799082337019198
5000,0.572,0.928,0.9192,film awards best actor,0.7286713974525695,1.0,1.0
5000,0.572,0.928,0.9192,minister resignation political party,0.697513764362868,1.0,1.0
5000,0.572,0.928,0.9192,government election campaign,0.6791612088852451,1.0,1.0
